127.0.0.1 - - [16/Feb/2023:16:53:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:53:43 +0900] "GET /mytest04/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:53:48 +0900] "GET /mytest04/main/main.do HTTP/1.1" 200 19198
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:53:48 +0900] "GET /mytest04/resources/css/mobile.css HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:53:48 +0900] "GET /mytest04/resources/css/basic-jquery-slider.css HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:53:48 +0900] "GET /mytest04/resources/css/main.css HTTP/1.1" 200 20054
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:53:48 +0900] "GET /mytest04/resources/jquery/stickysidebar.jquery.js HTTP/1.1" 200 4773
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:53:48 +0900] "GET /mytest04/resources/jquery/tabs.js HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:53:48 +0900] "GET /mytest04/resources/jquery/carousel.js HTTP/1.1" 200 4183
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:53:48 +0900] "GET /mytest04/resources/jquery/jquery.easing.1.3.js HTTP/1.1" 200 8301
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:53:48 +0900] "GET /mytest04/resources/css/smartphone.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:53:48 +0900] "GET /mytest04/resources/css/tablet.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:53:48 +0900] "GET /mytest04/resources/jquery/basic-jquery-slider.js HTTP/1.1" 200 9293
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:53:48 +0900] "GET /mytest04/resources/image/Booktopia_Logo.jpg HTTP/1.1" 200 22622
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:53:48 +0900] "GET /mytest04/resources/image/n-pay.jpg HTTP/1.1" 200 57248
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:53:49 +0900] "GET /mytest04/resources/image/side_banner1.jpg HTTP/1.1" 200 73779
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:53:49 +0900] "GET /mytest04/resources/image/call_center_logo.jpg HTTP/1.1" 200 29903
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:53:49 +0900] "GET /mytest04/resources/image/QnA_logo.jpg HTTP/1.1" 200 15722
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:53:49 +0900] "GET /mytest04/resources/jquery/jquery-1.6.2.min.js HTTP/1.1" 200 91556
